Organ	Organ_ID	FTU Label in Uberon	FTU ID in Uberon	CT Label in CL	CT ID in CL	CT Label in 2D Object
Prostate	http://purl.obolibrary.org/obo/UBERON_0002367	Prostate Glandular Acinus	UBERON:0004179	fibroblast of connective tissue of prostate	CL:1000299	Fibroblast Of Connective Tissue Of Prostate
Prostate	http://purl.obolibrary.org/obo/UBERON_0002367	Prostate Glandular Acinus	UBERON:0004179			Prostate Gland Microvascular Endothelial Cell
Prostate	http://purl.obolibrary.org/obo/UBERON_0002367	Prostate Glandular Acinus	UBERON:0004179	luminal cell of prostate epithelium	CL:0002340	Luminal Cell Of Prostate Epithelium
Prostate	http://purl.obolibrary.org/obo/UBERON_0002367	Prostate Glandular Acinus	UBERON:0004179	basal cell of prostate epithelium	CL:0002341	Basal Cell Of Prostate Epithelium
Prostate	http://purl.obolibrary.org/obo/UBERON_0002367	Prostate Glandular Acinus	UBERON:0004179	vascular associated smooth muscle cell	CL:0000359	Vascular Smooth Muscle Cell
Prostate	http://purl.obolibrary.org/obo/UBERON_0002367	Prostate Glandular Acinus	UBERON:0004179	pericyte	CL:0000669	Prostate Pericyte
Skin	http://purl.obolibrary.org/obo/UBERON_0002097	Dermal Papilla	UBERON:0001992	skin fibroblast	CL:0002620	Skin Fibroblast
Skin	http://purl.obolibrary.org/obo/UBERON_0002097	Dermal Papilla	UBERON:0001992	endothelial cell	CL:0000115	Blood Vessel
Skin	http://purl.obolibrary.org/obo/UBERON_0002097	Epidermal Ridge	UBERON:0013487	prickle cell	CL:0000649	Prickle Cell
Skin	http://purl.obolibrary.org/obo/UBERON_0002097	Epidermal Ridge	UBERON:0013487	epidermal Langerhans cell	CL:0002457	Epidermal Langerhans Cell
Skin	http://purl.obolibrary.org/obo/UBERON_0002097	Epidermal Ridge	UBERON:0013487	basal cell	CL:0000646	Basal Cell
Skin	http://purl.obolibrary.org/obo/UBERON_0002097	Epidermal Ridge	UBERON:0013487	Merkel cell	CL:0000242	Merkel Cell
Skin	http://purl.obolibrary.org/obo/UBERON_0002097	Epidermal Ridge	UBERON:0013487	melanocyte of skin	CL:1000458	Melanocyte
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	natural killer cell	CL:0000623	Natural Killer Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	fibroblast	CL:0000057	Fibroblast
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	tuft cell of small intestine	CL:0009080	Tuft Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	enterocyte	CL:0000584	Enterocyte
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	mast cell	CL:0000097	Mast Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	duodenal goblet cell	CL:1000324	Goblet Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	ileal goblet cell	CL:1000326	Goblet Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	jejunal goblet cell	CL:1000325	Goblet Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	myofibroblast	CL:0000186	Myofibroblast
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	plasma cell	CL:0000786	Plasma Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	dendritic cell	CL:0000451	Dendritic Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	B cell	CL:0000236	B Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	eosinophil	CL:0000771	Eosinophil
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	innate lymphoid cell	CL:0001065	Innate Lymphoid Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	endocrine cell	CL:0000163	Endocrine Cell
Small Intestine	http://purl.obolibrary.org/obo/UBERON_0002108	Villus	UBERON 0001213	neutrophil	CL:0000775	Neutrophil
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	CD14-positive, CD16-low monocyte	CL:0001055	CD14 Positive
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	follicular dendritic cell	CL:0000442	Follicular Dendritic Cell
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	plasmablast	CL:0000980	plasmablast
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	neutrophil	CL:0000775	Neutrophil
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	splenic tingible body macrophage	CL:0000877	Splenic Tingible Body Macrophage
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	splenic marginal zone macrophage	CL:0000872	Splenic Marginal Zone Macrophage
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	splenic red pulp macrophage	CL:0000874	Splenic Red Pulp Macrophage
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	dendritic cell, human	CL:0001056	Dendritic Cell
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	hematopoetic stem cell	CL:0000037	Hematopoetic Stem Cell
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Red Pulp	UBERON:0001250	reticular cell of splenic sinusoid		Reticular Cell Of Splenic Sinusoid
